d-d-t,r-r-t,decay-factor,Year,HumanAnnualDLCases,HumanAnnualDogSerovarInc/10K,prop-rc-dscases,HumanAnnualRLCases,HumanAnnualRodentSerovarInc/10K,prop-dc-rscases,DogAnnualDLCases,DogAnnualRLCases,RodentAnnualRLCases,RodentAnnualDLCases,averageannODN,averageannSDN,averageDN,averageannRN,iteration
0.01,0.0085,0.95,6,0,0,0.635,0,0,0.008,75,42,3859,274,116,61,177,1530,22
0.01,0.0085,0.95,6,0,0,0.567,0,0,0.009,59,49,2556,105,48,114,162,1409,23
0.01,0.0085,0.95,4,0,0,0.966,1,14,0.021,13,59,2267,257,92,61,153,1485,16
0.01,0.0085,0.95,7,0,0,0.665,4,57,0.034,72,43,2266,155,66,97,163,1388,4
0.01,0.0085,0.95,5,0,0,0.625,0,0,0.019,55,43,2871,207,46,111,157,1442,12
0.01,0.0085,0.95,4,0,0,0.418,0,0,0.012,75,33,2523,257,131,51,182,1403,7
0.01,0.0085,0.95,7,0,0,0.356,1,13,0.01,33,40,2584,85,60,86,146,1422,6
0.01,0.0085,0.95,4,0,0,0.394,0,0,0.006,71,64,2747,186,102,80,182,1449,8
0.01,0.0085,0.95,5,0,0,0.583,0,0,0.011,50,48,3671,152,52,121,173,1447,5
0.01,0.0085,0.95,7,0,0,0.46,0,0,0.024,107,56,3277,167,74,112,186,1402,10
0.01,0.0085,0.95,4,0,0,0.578,0,0,0.032,36,71,2669,202,53,123,176,1463,11
0.01,0.0085,0.95,7,0,0,0.942,0,0,0.011,31,41,3148,215,69,95,164,1454,17
0.01,0.0085,0.95,7,0,0,0.939,0,0,0.003,20,47,2708,183,86,65,151,1387,27
0.01,0.0085,0.95,7,0,0,0.569,0,0,0.005,64,48,2998,162,86,65,151,1434,24
0.01,0.0085,0.95,5,0,0,0.441,0,0,0.018,41,43,3239,111,106,48,154,1447,26
0.01,0.0085,0.95,5,2,26,0.687,0,0,0.014,34,32,2920,139,105,59,164,1491,19
0.01,0.0085,0.95,7,0,0,0.378,0,0,0.018,79,45,4049,205,109,67,176,1526,22
0.01,0.0085,0.95,5,2,26,0.722,0,0,0.018,68,41,3495,179,41,117,158,1466,2
0.01,0.0085,0.95,5,0,0,0.675,0,0,0.009,51,49,3202,235,94,65,159,1455,25
0.01,0.0085,0.95,5,1,14,0.665,0,0,0.004,94,25,2340,334,82,76,158,1422,20
0.01,0.0085,0.95,3,0,0,0.407,0,0,0.018,44,70,2542,142,90,111,201,1463,29
0.01,0.0085,0.95,7,0,0,0.766,0,0,0.028,69,49,3002,162,47,108,155,1414,23
0.01,0.0085,0.95,6,0,0,0.563,0,0,0.021,66,44,2425,255,125,52,177,1391,15
0.01,0.0085,0.95,5,0,0,0.606,0,0,0.021,61,42,2321,193,70,85,155,1447,9
0.01,0.0085,0.95,5,0,0,0.64,0,0,0.037,65,60,1784,231,76,105,181,1407,3
